Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Importação;2024;7;Julho;Guarujá - SP;Estados Unidos;2815;2931472;23999389;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;7;Julho;Santos - SP;Argentina;1001;15960088;58973427;Trigo e mistura de trigo com centeio
Importação;2024;6;Junho;Guarujá - SP;Estados Unidos;2815;2406484;19736050;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;6;Junho;Santos - SP;Argentina;1001;22586623;81207725;Trigo e mistura de trigo com centeio
Importação;2024;5;Maio;Cubatão - SP;Chile;2501;1305731;50859539;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;5;Maio;Santos - SP;Argentina;1001;21076829;79623270;Trigo e mistura de trigo com centeio
Importação;2024;4;Abril;Cubatão - SP;Chile;2501;1314121;51095029;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;4;Abril;Guarujá - SP;Estados Unidos;2815;4063374;32771373;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;4;Abril;Santos - SP;Argentina;1001;7957960;29000000;Trigo e mistura de trigo com centeio
Importação;2024;3;Março;Cubatão - SP;Chile;2501;1230919;47950983;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;3;Março;Guarujá - SP;Estados Unidos;2815;2976578;23990942;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;3;Março;Santos - SP;Argentina;1001;21276928;80308000;Trigo e mistura de trigo com centeio
Importação;2024;2;Fevereiro;Cubatão - SP;Chile;2501;1255625;48912445;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;2;Fevereiro;Guarujá - SP;Estados Unidos;2815;1913634;15554849;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;1;Janeiro;Cubatão - SP;Chile;2501;1281009;50633446;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;1;Janeiro;Guarujá - SP;Estados Unidos;2815;4666284;36136264;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;1;Janeiro;Santos - SP;Argentina;1001;21082852;76517243;Trigo e mistura de trigo com centeio
Exportação;2023;12;Dezembro;Cubatão - SP;China;1201;1070955;1786474;Soja, mesmo triturada
Exportação;2023;12;Dezembro;Guarujá - SP;China;1201;62840811;121684637;Soja, mesmo triturada
Exportação;2023;12;Dezembro;Santos - SP;China;1201;47515065;90343948;Soja, mesmo triturada
Exportação;2023;11;Novembro;Cubatão - SP;China;1201;11544100;22111369;Soja, mesmo triturada
