Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Importação;2022;1;Janeiro;Cubatão - SP;45237923;91962438
Importação;2022;1;Janeiro;Guarujá - SP;33671651;45039310
Importação;2022;1;Janeiro;Santos - SP;91670455;163111426
Importação;2022;2;Fevereiro;Cubatão - SP;71459940;159520055
Importação;2022;2;Fevereiro;Guarujá - SP;27541408;40891129
Importação;2022;2;Fevereiro;Santos - SP;54729293;97089525
Importação;2022;3;Março;Cubatão - SP;93096037;119574496
Importação;2022;3;Março;Guarujá - SP;32760498;17332425
Importação;2022;3;Março;Santos - SP;123831366;190498858
Importação;2022;4;Abril;Cubatão - SP;127012318;148850164
Importação;2022;4;Abril;Guarujá - SP;25142743;13364682
Importação;2022;4;Abril;Santos - SP;65784928;114596281
Importação;2022;5;Maio;Cubatão - SP;130723580;294780811
Importação;2022;5;Maio;Guarujá - SP;11203805;2793411
Importação;2022;5;Maio;Santos - SP;165579840;197835421
Importação;2022;6;Junho;Cubatão - SP;187271777;190183356
Importação;2022;6;Junho;Guarujá - SP;38026460;19664586
Importação;2022;6;Junho;Santos - SP;166269093;229502780
Importação;2022;7;Julho;Cubatão - SP;200175343;259056021
Importação;2022;7;Julho;Guarujá - SP;23809596;27391279
Importação;2022;7;Julho;Santos - SP;140898282;168980299
Importação;2022;8;Agosto;Cubatão - SP;203274538;246938968
Importação;2022;8;Agosto;Guarujá - SP;34513418;13198697
Importação;2022;8;Agosto;Santos - SP;147937317;196104778
Importação;2022;9;Setembro;Cubatão - SP;145217160;223616311
Importação;2022;9;Setembro;Guarujá - SP;48857816;28231257
Importação;2022;9;Setembro;Santos - SP;120279169;143659545
Importação;2022;10;Outubro;Cubatão - SP;91232711;195671382
Importação;2022;10;Outubro;Guarujá - SP;33057088;10751557
Importação;2022;10;Outubro;Santos - SP;133810562;162641537
Importação;2022;11;Novembro;Cubatão - SP;56265838;116998612
Importação;2022;11;Novembro;Guarujá - SP;47683827;55603494
Importação;2022;11;Novembro;Santos - SP;70336296;77718289
Importação;2022;12;Dezembro;Cubatão - SP;71135872;149801003
Importação;2022;12;Dezembro;Guarujá - SP;44057323;32103831
Importação;2022;12;Dezembro;Santos - SP;133932670;178006377
Importação;2023;1;Janeiro;Cubatão - SP;32094502;99334349
Importação;2023;1;Janeiro;Guarujá - SP;22894333;27140910
Importação;2023;1;Janeiro;Santos - SP;95289342;122185346
Importação;2023;2;Fevereiro;Cubatão - SP;60764410;161963668
Importação;2023;2;Fevereiro;Guarujá - SP;26108377;8399179
Importação;2023;2;Fevereiro;Santos - SP;64466048;60437076
Importação;2023;3;Março;Cubatão - SP;62833683;196948216
Importação;2023;3;Março;Guarujá - SP;33481631;51924570
Importação;2023;3;Março;Santos - SP;75896723;128584796
Importação;2023;4;Abril;Cubatão - SP;42872711;110616082
Importação;2023;4;Abril;Guarujá - SP;31431536;48123492
Importação;2023;4;Abril;Santos - SP;72814028;86595236
Importação;2023;5;Maio;Cubatão - SP;38523622;174149739
Importação;2023;5;Maio;Guarujá - SP;34116487;30816122
